image_name,target
ISIC_0052060,0.10962418
ISIC_0052349,0.11178141
ISIC_0058510,0.0977404
ISIC_0073313,0.10157658
ISIC_0073502,0.99999964
ISIC_0074618,0.28653026
ISIC_0076801,0.19055583
ISIC_0077586,0.999997
ISIC_0082004,0.99999356
ISIC_0082785,0.1405262
ISIC_0085332,0.13109519
ISIC_0087243,0.1002892
ISIC_0088167,0.99999416
ISIC_0089356,0.10305283
ISIC_0090283,0.9999956
ISIC_0092481,0.09911775
ISIC_0095455,0.099190414
ISIC_0095790,0.10979887
ISIC_0097719,0.9625088
ISIC_0099348,0.9999976
ISIC_0101040,0.9999989
ISIC_0101383,0.034141056
ISIC_0105104,0.99999714
ISIC_0108196,0.020275954
ISIC_0112420,1.0
ISIC_0114232,0.0939542
ISIC_0115798,0.108473524
ISIC_0116844,0.096685365
ISIC_0126432,0.08438417
ISIC_0131485,0.09484818
ISIC_0131912,0.1051438
ISIC_0131978,0.094989516
ISIC_0139322,0.99999964
ISIC_0142066,0.9999738
ISIC_0143109,0.9999963
ISIC_0148210,0.09286011
ISIC_0148937,0.08783485
ISIC_0150213,0.99999726
ISIC_0152553,0.08431119
ISIC_0153127,0.121192284
ISIC_0154289,0.23811147
ISIC_0155813,0.9999826
ISIC_0155983,0.9686827
ISIC_0157088,0.10830832
ISIC_0158761,0.11226642
ISIC_0161963,0.9999633
ISIC_0165178,0.20895931
ISIC_0165230,0.16572608
ISIC_0165615,0.10881497
ISIC_0165617,0.28542936
ISIC_0165674,0.10597695
ISIC_0165928,0.15812798
ISIC_0166561,0.10399443
ISIC_0168125,0.51663166
ISIC_0169378,0.30754477
ISIC_0169575,0.10206887
ISIC_0169906,0.3845745
ISIC_0171865,0.99399865
ISIC_0172678,0.09992209
ISIC_0174800,0.3482223
ISIC_0175014,0.22427222
ISIC_0175798,0.9999999
ISIC_0176152,0.22375049
ISIC_0177083,0.13700227
ISIC_0178235,0.36261305
ISIC_0178258,0.25551555
ISIC_0178428,0.8344353
ISIC_0178741,0.8260445
ISIC_0180057,0.07516739
ISIC_0182213,0.953475
ISIC_0183334,0.08704581
ISIC_0183449,0.9999988
ISIC_0183658,0.10015092
ISIC_0183771,0.03378352
ISIC_0186715,0.27227682
ISIC_0187786,0.09308296
ISIC_0188485,0.26041847
ISIC_0191895,0.7014853
ISIC_0192184,0.29361558
ISIC_0192807,0.10329092
ISIC_0193289,0.6879785
ISIC_0194115,0.12521969
ISIC_0195744,0.6216297
ISIC_0195995,0.124852635
ISIC_0196159,0.1780792
ISIC_0196622,0.10228376
ISIC_0196807,0.9999975
ISIC_0197182,0.9999925
ISIC_0197440,0.9999995
ISIC_0197860,0.11171593
ISIC_0198376,0.11723515
ISIC_0198622,0.100007705
ISIC_0199195,0.344189
ISIC_0199718,0.097371705
ISIC_0199780,0.10983994
ISIC_0200120,0.9865146
ISIC_0204399,0.05920804
ISIC_0204875,0.11055955
ISIC_0205627,0.11517045
ISIC_0206261,0.14828026
ISIC_0206934,0.14540792
ISIC_0207197,0.61424446
ISIC_0208233,0.99999976
ISIC_0209640,0.114449196
ISIC_0210915,0.19420907
ISIC_0212435,0.10396842
ISIC_0212468,0.30240947
ISIC_0213848,0.1923003
ISIC_0216203,0.1084517
ISIC_0216447,0.8928387
ISIC_0220438,0.23510952
ISIC_0220466,0.9999988
ISIC_0223354,0.0678209
ISIC_0223463,0.4537143
ISIC_0223760,0.09828857
ISIC_0224309,0.9999981
ISIC_0225471,0.58913314
ISIC_0225894,0.5598389
ISIC_0226234,0.1038262
ISIC_0227767,0.110248
ISIC_0228452,0.033752047
ISIC_0229266,0.6468353
ISIC_0230247,0.09969843
ISIC_0230499,0.9969639
ISIC_0231539,0.39712095
ISIC_0231788,0.11817772
ISIC_0232763,0.9995609
ISIC_0235107,0.8439743
ISIC_0235501,0.2603228
ISIC_0235505,0.10817016
ISIC_0235542,0.44081149
ISIC_0238185,0.09102367
ISIC_0238872,0.9999968
ISIC_0239635,0.99199486
ISIC_0240839,0.10031557
ISIC_0241566,0.8821991
ISIC_0243686,0.24431579
ISIC_0243937,0.17290659
ISIC_0244266,0.9999862
ISIC_0244465,0.07907398
ISIC_0244617,0.21294639
ISIC_0244885,0.99999857
ISIC_0245273,0.08392713
ISIC_0246008,0.0963043
ISIC_0246211,0.3644669
ISIC_0248702,0.9999981
ISIC_0251455,1.0
ISIC_0251656,0.99982977
ISIC_0252811,0.42448947
ISIC_0254594,0.10852476
ISIC_0255112,0.9999976
ISIC_0256267,0.10244493
ISIC_0258149,0.4680586
ISIC_0258489,0.9999937
ISIC_0258717,0.7746722
ISIC_0259209,0.9999758
ISIC_0259237,0.99999774
ISIC_0261866,0.9999989
ISIC_0261904,0.14832276
ISIC_0261907,0.09626359
ISIC_0262392,0.9974969
ISIC_0262492,0.607726
ISIC_0263920,0.14716327
ISIC_0265011,0.0950258
ISIC_0267082,0.60514456
ISIC_0268025,0.09656664
ISIC_0268451,0.99999774
ISIC_0269476,0.10005095
ISIC_0270022,0.99999857
ISIC_0270367,0.5709679
ISIC_0271223,0.5972709
ISIC_0272190,0.99999785
ISIC_0273533,0.09841733
ISIC_0274458,0.998978
ISIC_0274698,0.38379383
ISIC_0274789,0.14360501
ISIC_0276718,0.11514549
ISIC_0280382,0.37889665
ISIC_0280752,0.99999785
ISIC_0280782,0.9766618
ISIC_0280827,0.12534246
ISIC_0281227,0.15783687
ISIC_0282269,0.10000843
ISIC_0282486,0.49272698
ISIC_0282737,0.9999982
ISIC_0284147,0.046200678
